,grayscale,type
268,"[[1.78579902e-04 3.57159804e-04 1.78579902e-04 ... 8.92899511e-05
  1.78579902e-04 3.57159804e-04]]",Type_2
269,[[0.         0.         0.00020442 ... 0.         0.         0.        ]],Type_2
270,"[[8.82691641e-05 8.82691641e-05 0.00000000e+00 ... 8.82691641e-05
  1.76538328e-04 8.82691641e-05]]",Type_2
271,[[0.00871063 0.00851919 0.00851919 ... 0.00536039 0.00545611 0.00516895]],Type_2
272,[[0. 0. 0. ... 0. 0. 0.]],Type_2
273,[[0.01456229 0.0097082  0.00916885 ... 0.02094453 0.02094453 0.02094453]],Type_2
274,[[0.00918966 0.00962211 0.00940588 ... 0.01027079 0.01081136 0.01135193]],Type_2
275,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.59621808e-05
  8.59621808e-05 8.59621808e-05]]",Type_2
276,[[0.0095178  0.00936552 0.00928938 ... 0.00974623 0.00936552 0.00868024]],Type_2
277,"[[9.04175701e-05 0.00000000e+00 0.00000000e+00 ... 9.04175701e-05
  0.00000000e+00 9.04175701e-05]]",Type_2
278,[[0.00880788 0.00872707 0.00840385 ... 0.00476757 0.0064645  0.0077574 ]],Type_2
279,[[0.00017646 0.00017646 0.00026468 ... 0.00026468 0.00026468 0.00044114]],Type_2
280,[[0.00833007 0.00833007 0.00916308 ... 0.01110676 0.00916308 0.00786729]],Type_2
281,"[[0.00000000e+00 1.70754776e-04 8.53773879e-05 ... 8.53773879e-05
  8.53773879e-05 0.00000000e+00]]",Type_2
282,[[0.01007519 0.01052801 0.01188646 ... 0.01460337 0.0103016  0.0050942 ]],Type_2
283,[[0.01899443 0.01942859 0.01856028 ... 0.00379889 0.00347327 0.00423305]],Type_2
284,[[0.01074248 0.01037833 0.01056041 ... 0.00700993 0.00673681 0.00682785]],Type_2
285,[[0.01062079 0.01015496 0.00940965 ... 0.0068942  0.00698736 0.00726685]],Type_2
286,[[0.01054136 0.01233818 0.0131767  ... 0.00095831 0.00059894 0.00071873]],Type_2
287,[[0.01085015 0.011252   0.01133238 ... 0.00032149 0.00032149 0.00032149]],Type_2
288,"[[0.00000000e+00 8.21215717e-05 8.21215717e-05 ... 0.00000000e+00
  8.21215717e-05 0.00000000e+00]]",Type_2
289,[[0.00831143 0.00875828 0.00804332 ... 0.00813269 0.00741772 0.00813269]],Type_2
290,[[0.01091882 0.0112497  0.01191144 ... 0.00678291 0.00620388 0.00612116]],Type_2
291,[[0. 0. 0. ... 0. 0. 0.]],Type_2
292,"[[9.22873956e-05 9.22873956e-05 1.84574791e-04 ... 1.84574791e-04
  9.22873956e-05 0.00000000e+00]]",Type_2
293,[[0. 0. 0. ... 0. 0. 0.]],Type_2
294,[[0.01214786 0.01198258 0.01165203 ... 0.00024792 0.         0.00016528]],Type_2
295,[[0.0018425  0.00339409 0.00513962 ... 0.0022304  0.00232737 0.00164856]],Type_2
296,[[0.00972293 0.00912063 0.0094648  ... 0.01436929 0.01350885 0.01213215]],Type_2
297,[[0.00492804 0.00428804 0.00416004 ... 0.00857608 0.00940808 0.00768007]],Type_2
298,[[0.00108703 0.00380462 0.00652221 ... 0.         0.00015529 0.        ]],Type_2
299,"[[9.25277923e-05 3.70111169e-04 9.25277923e-05 ... 0.00000000e+00
  9.25277923e-05 9.25277923e-05]]",Type_2
300,[[0.0003007  0.00020047 0.00010023 ... 0.00020047 0.00020047 0.00010023]],Type_2
301,[[0.00347918 0.0038271  0.00460992 ... 0.00147865 0.00200053 0.00034792]],Type_2
302,[[0.01056559 0.008609   0.00876553 ... 0.00751331 0.00485235 0.00328707]],Type_2
303,"[[4.22639691e-03 4.30466352e-03 4.77426318e-03 ... 7.82666094e-05
  3.91333047e-04 0.00000000e+00]]",Type_2
304,[[0.00189771 0.00075908 0.00151817 ... 0.00332099 0.00294145 0.00265679]],Type_2
305,[[0.00226059 0.002562   0.00361695 ... 0.01243326 0.00911772 0.00663107]],Type_2
306,[[0.00025777 0.00025777 0.00025777 ... 0.00017185 0.00034369 0.00051554]],Type_2
307,[[0. 0. 0. ... 0. 0. 0.]],Type_2
308,"[[8.72393099e-05 1.74478620e-04 0.00000000e+00 ... 1.74478620e-04
  8.72393099e-05 8.72393099e-05]]",Type_2
309,[[0.00798596 0.00738701 0.00738701 ... 0.00628894 0.00648859 0.00648859]],Type_2
310,[[0.00186681 0.00162332 0.00178565 ... 0.000487   0.00040583 0.00040583]],Type_2
311,"[[8.43044017e-05 1.68608803e-04 1.68608803e-04 ... 0.00000000e+00
  1.68608803e-04 0.00000000e+00]]",Type_2
312,"[[0.00000000e+00 9.22741374e-05 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
313,[[0.00083206 0.00101696 0.00101696 ... 0.00305088 0.00184902 0.00184902]],Type_2
314,[[0.00346709 0.00281115 0.00253004 ... 0.00309227 0.00271745 0.00309227]],Type_2
315,[[0.00056327 0.00056327 0.00042245 ... 0.00056327 0.00028164 0.00056327]],Type_2
316,[[0.01431762 0.01480414 0.01480414 ... 0.01021694 0.01021694 0.00820135]],Type_2
317,"[[4.38564731e-04 8.77129461e-05 2.63138838e-04 ... 8.77129461e-05
  1.75425892e-04 2.63138838e-04]]",Type_2
318,[[0.01801211 0.01793134 0.01825443 ... 0.01219654 0.01219654 0.01130805]],Type_2
319,[[0. 0. 0. ... 0. 0. 0.]],Type_2
320,[[0.0133214  0.01292728 0.01324257 ... 0.00173415 0.00173415 0.00134002]],Type_2
321,[[0.01390685 0.01471695 0.01525703 ... 0.00337545 0.00445559 0.0067509 ]],Type_2
322,"[[0.0000000e+00 7.9727264e-05 7.9727264e-05 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]]",Type_2
323,[[0.         0.00010846 0.         ... 0.         0.00010846 0.00010846]],Type_2
324,[[0.0041151  0.00493812 0.00484667 ... 0.0054868  0.00566969 0.00384076]],Type_2
325,[[0.00035663 0.00053494 0.00053494 ... 0.00427952 0.00561687 0.00740001]],Type_2
326,"[[8.63124749e-05 8.63124749e-05 8.63124749e-05 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
327,[[0.00647784 0.00647784 0.00610122 ... 0.01596864 0.01604396 0.01604396]],Type_2
328,[[0.00235592 0.0025184  0.0025184  ... 0.00828634 0.00796138 0.00682404]],Type_2
329,"[[3.73310301e-04 1.86655151e-04 9.33275753e-05 ... 2.79982726e-04
  2.79982726e-04 9.33275753e-05]]",Type_2
330,[[0.01270455 0.01231    0.01246782 ... 0.00189385 0.00165712 0.00134147]],Type_2
331,[[0.01449055 0.01502441 0.01464308 ... 0.00869433 0.00777914 0.00716901]],Type_2
332,[[0.01038233 0.01189088 0.01277826 ... 0.00709903 0.01038233 0.01410932]],Type_2
333,[[0. 0. 0. ... 0. 0. 0.]],Type_2
334,[[0.00481806 0.00410427 0.00321204 ... 0.00187369 0.00196291 0.00187369]],Type_2
335,"[[8.20049982e-05 2.46014995e-04 8.20049982e-05 ... 0.00000000e+00
  1.64009996e-04 0.00000000e+00]]",Type_2
336,[[0.0137801  0.0145907  0.01507705 ... 0.01167256 0.01215891 0.01102408]],Type_2
337,[[0.0012266  0.00132882 0.0012266  ... 0.00153325 0.0018399  0.0012266 ]],Type_2
338,[[0.0145937  0.01404299 0.01367585 ... 0.00458921 0.00431386 0.00413029]],Type_2
339,[[0.00215313 0.00168506 0.00243397 ... 0.00056169 0.00112337 0.0006553 ]],Type_2
340,[[0.00139101 0.00147283 0.00163648 ... 0.01783761 0.01603749 0.01431919]],Type_2
341,"[[1.74660084e-04 8.73300422e-05 2.61990127e-04 ... 8.73300422e-05
  0.00000000e+00 0.00000000e+00]]",Type_2
342,[[0.00759664 0.00741359 0.00796274 ... 0.00787122 0.00457629 0.00375256]],Type_2
343,[[0.00762794 0.00558142 0.00418607 ... 0.01088377 0.01004656 0.00818609]],Type_2
344,[[0.00688143 0.00679321 0.00626387 ... 0.00838123 0.00794012 0.00758722]],Type_2
345,[[0. 0. 0. ... 0. 0. 0.]],Type_2
346,[[0.00578352 0.00563711 0.00549069 ... 0.00585673 0.00512464 0.00461218]],Type_2
347,"[[9.0307765e-05 0.0000000e+00 1.8061553e-04 ... 9.0307765e-05
  0.0000000e+00 9.0307765e-05]]",Type_2
348,"[[9.74900032e-05 9.74900032e-05 1.94980006e-04 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
349,[[0.0125223  0.0125223  0.0125223  ... 0.01014465 0.00943136 0.00943136]],Type_2
350,"[[9.00845957e-05 1.80169191e-04 1.80169191e-04 ... 1.80169191e-04
  9.00845957e-05 9.00845957e-05]]",Type_2
351,"[[1.74371973e-04 1.74371973e-04 1.74371973e-04 ... 1.74371973e-04
  1.74371973e-04 8.71859864e-05]]",Type_2
352,[[0. 0. 0. ... 0. 0. 0.]],Type_2
353,"[[0.00000000e+00 9.88315272e-05 9.88315272e-05 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
354,[[0.0083748  0.00845381 0.0072687  ... 0.0052145  0.00481946 0.00379236]],Type_2
355,[[0.01230504 0.01230504 0.0119494  ... 0.0096022  0.00981558 0.00988671]],Type_2
356,[[0.00071467 0.001072   0.00134    ... 0.00312667 0.00410934 0.00482401]],Type_2
357,"[[0.00000000e+00 8.93024063e-05 8.93024063e-05 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
358,[[0.00022388 0.00033582 0.00011194 ... 0.00011194 0.00011194 0.        ]],Type_2
359,[[0.01969342 0.01424823 0.01197941 ... 0.0044469  0.00535443 0.00417464]],Type_2
360,"[[6.37815696e-04 1.03645051e-03 1.75399316e-03 ... 1.59453924e-04
  0.00000000e+00 7.97269620e-05]]",Type_2
361,[[0.00011417 0.00011417 0.00011417 ... 0.         0.         0.        ]],Type_2
362,"[[9.82746309e-05 1.96549262e-04 2.94823893e-04 ... 4.91373154e-04
  1.96549262e-04 3.93098523e-04]]",Type_2
363,[[0.00118666 0.00102844 0.00134488 ... 0.00221509 0.00213598 0.00213598]],Type_2
364,[[0.01072695 0.01108451 0.0112633  ... 0.01296173 0.01278295 0.01314051]],Type_2
365,"[[9.56474601e-05 0.00000000e+00 9.56474601e-05 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
366,[[0.00027699 0.00180046 0.00263144 ... 0.01329571 0.01080277 0.00775583]],Type_2
367,[[0.         0.         0.         ... 0.         0.00010383 0.        ]],Type_2
368,[[0.01011713 0.00905724 0.00982807 ... 0.00674475 0.00645569 0.00655205]],Type_2
369,[[0.00531963 0.00598459 0.00590147 ... 0.00640019 0.00797945 0.00897688]],Type_2
370,[[0.00044744 0.00044744 0.00017897 ... 0.00017897 0.00026846 0.00017897]],Type_2
371,"[[9.01423418e-05 9.01423418e-05 9.01423418e-05 ... 0.00000000e+00
  0.00000000e+00 9.01423418e-05]]",Type_2
372,[[0.00067297 0.00153822 0.00211505 ... 0.00134594 0.0012498  0.00057683]],Type_2
373,[[0.00010736 0.00032208 0.00021472 ... 0.00032208 0.         0.00021472]],Type_2
374,[[0.00459218 0.00423894 0.00388569 ... 0.00794801 0.00706489 0.00565192]],Type_2
375,"[[0.00000000e+00 8.11198365e-05 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
376,[[0.00740433 0.00740433 0.00691071 ... 0.01694769 0.01522001 0.01308098]],Type_2
377,"[[7.64179005e-05 7.64179005e-05 7.64179005e-05 ... 7.64179005e-05
  7.64179005e-05 7.64179005e-05]]",Type_2
378,[[0.01264278 0.01318572 0.0136511  ... 0.00093076 0.00046538 0.        ]],Type_2
379,[[0.00998925 0.00960505 0.00960505 ... 0.00064034 0.00051227 0.        ]],Type_2
380,[[0.00473187 0.00457673 0.00426644 ... 0.01264418 0.01225632 0.00899831]],Type_2
381,[[0.00430628 0.00458712 0.00449351 ... 0.00205952 0.00131061 0.00121699]],Type_2
382,[[0.00530403 0.00521563 0.00565763 ... 0.00309402 0.00344762 0.00318242]],Type_2
383,[[0.         0.00012431 0.         ... 0.         0.         0.00012431]],Type_2
384,"[[0.0000000e+00 9.9448327e-05 0.0000000e+00 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]]",Type_2
385,[[0.00020694 0.00041388 0.00010347 ... 0.00010347 0.00020694 0.        ]],Type_2
386,[[0.00176864 0.00151598 0.00168442 ... 0.00816945 0.01086453 0.01044342]],Type_2
387,[[0. 0. 0. ... 0. 0. 0.]],Type_2
388,[[0.0131492  0.0131492  0.01337334 ... 0.01456872 0.0131492  0.01232738]],Type_2
389,[[0.00831239 0.00817029 0.00824134 ... 0.00021314 0.00021314 0.        ]],Type_2
390,[[0.01043009 0.00605618 0.00672909 ... 0.00201873 0.00280379 0.00201873]],Type_2
391,[[0.01157673 0.01121495 0.00841121 ... 0.00470304 0.00452216 0.0046126 ]],Type_2
392,[[0.         0.00011424 0.00011424 ... 0.00022848 0.00022848 0.00011424]],Type_2
393,"[[0.00000000e+00 0.00000000e+00 1.51766800e-04 ... 0.00000000e+00
  7.58834001e-05 0.00000000e+00]]",Type_2
394,[[0.00259056 0.00230272 0.00095947 ... 0.01995693 0.01938125 0.0194772 ]],Type_2
395,[[0.01013186 0.00940237 0.00867287 ... 0.00040527 0.00040527 0.00048633]],Type_2
396,[[0.0022856  0.00266654 0.00380934 ... 0.00485691 0.00457121 0.00333317]],Type_2
397,[[0.0001033 0.0001033 0.        ... 0.        0.        0.       ]],Type_2
398,[[0.         0.00010049 0.00020097 ... 0.00030146 0.00030146 0.00020097]],Type_2
399,[[0.00045059 0.0002253  0.00045059 ... 0.0002253  0.0002253  0.00033794]],Type_2
400,[[0.00734551 0.00808831 0.00792325 ... 0.00569483 0.0058599  0.00569483]],Type_2
401,"[[9.57647894e-05 9.57647894e-05 9.57647894e-05 ... 0.00000000e+00
  0.00000000e+00 9.57647894e-05]]",Type_2
402,[[0.00021795 0.00032693 0.00032693 ... 0.         0.         0.        ]],Type_2
403,"[[2.62439340e-04 1.74959560e-04 8.74797800e-05 ... 1.22471692e-03
  1.22471692e-03 9.62277580e-04]]",Type_2
404,"[[6.49263975e-05 1.29852795e-04 0.00000000e+00 ... 6.49263975e-05
  6.49263975e-05 6.49263975e-05]]",Type_2
405,[[0.00206552 0.00237535 0.0021688  ... 0.00268518 0.00289173 0.00320156]],Type_2
406,[[0.00983706 0.01006407 0.01051808 ... 0.00877768 0.00855067 0.00877768]],Type_2
407,"[[2.49746052e-04 1.66497368e-04 2.49746052e-04 ... 2.49746052e-04
  8.32486838e-05 2.49746052e-04]]",Type_2
408,[[0.00938714 0.01041263 0.01049151 ... 0.01664443 0.01538229 0.01443569]],Type_2
409,"[[1.78568542e-04 1.78568542e-04 1.78568542e-04 ... 8.92842708e-05
  8.92842708e-05 8.92842708e-05]]",Type_2
410,"[[8.96755944e-05 1.79351189e-04 8.96755944e-05 ... 8.96755944e-05
  8.96755944e-05 0.00000000e+00]]",Type_2
411,[[0.00601581 0.00550743 0.00601581 ... 0.00593108 0.0045754  0.00482959]],Type_2
412,"[[1.43362917e-02 1.40708048e-02 1.38938136e-02 ... 8.84956279e-05
  1.76991256e-04 3.53982512e-04]]",Type_2
413,[[0.01233683 0.01184616 0.01233683 ... 0.00602822 0.00700956 0.00736004]],Type_2
414,[[0.00015767 0.00031534 0.00015767 ... 0.00220737 0.00094601 0.00118252]],Type_2
415,[[0.01458545 0.01411495 0.01458545 ... 0.01019413 0.01082146 0.0109783 ]],Type_2
416,"[[1.90006307e-04 0.00000000e+00 9.50031536e-05 ... 1.90006307e-04
  9.50031536e-05 1.90006307e-04]]",Type_2
417,[[0.00414897 0.00414897 0.00407214 ... 0.00268915 0.00522463 0.00530147]],Type_2
418,[[0.00044988 0.00044988 0.00026993 ... 0.00224938 0.0021594  0.00197945]],Type_2
419,[[0.00425046 0.00340037 0.00374041 ... 0.00433547 0.00442048 0.0036554 ]],Type_2
420,[[0.00622093 0.00528192 0.00516455 ... 0.00352128 0.00446029 0.00387341]],Type_2
421,[[0.00597    0.00608481 0.00608481 ... 0.00539596 0.00470712 0.00516635]],Type_2
422,[[0.01090251 0.01149719 0.01437148 ... 0.00446012 0.00446012 0.0065415 ]],Type_2
423,[[0.01279345 0.01230408 0.01202445 ... 0.01118553 0.01034662 0.00866879]],Type_2
424,[[0.00602251 0.00657843 0.00694905 ... 0.00157512 0.00101919 0.00092654]],Type_2
425,"[[8.94042992e-05 1.78808598e-04 4.47021496e-04 ... 8.94042992e-05
  1.78808598e-04 8.94042992e-05]]",Type_2
426,[[0.00012214 0.         0.00024428 ... 0.         0.         0.        ]],Type_2
427,[[0. 0. 0. ... 0. 0. 0.]],Type_2
428,[[0. 0. 0. ... 0. 0. 0.]],Type_2
429,[[0.00143384 0.00191179 0.00111521 ... 0.00350495 0.00350495 0.00326597]],Type_2
430,"[[9.63076324e-05 9.63076324e-05 9.63076324e-05 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
431,[[0.00487674 0.00567475 0.00576342 ... 0.00478807 0.00505407 0.00425606]],Type_2
432,[[0. 0. 0. ... 0. 0. 0.]],Type_2
433,[[0.00759947 0.00938758 0.00938758 ... 0.00368798 0.00502906 0.00938758]],Type_2
434,[[0.01546652 0.01537445 0.01408558 ... 0.00929832 0.00810151 0.00708882]],Type_2
435,[[0.00303109 0.00303109 0.00275554 ... 0.00900143 0.00909328 0.00872587]],Type_2
436,"[[9.78640581e-05 1.95728116e-04 1.95728116e-04 ... 5.87184348e-04
  4.89320290e-04 3.91456232e-04]]",Type_2
437,[[0.00139307 0.00165427 0.0018284  ... 0.00313441 0.00426628 0.00513695]],Type_2
438,[[0.00827402 0.00941526 0.00798871 ... 0.01207816 0.01616762 0.01217327]],Type_2
439,[[0.         0.00011407 0.         ... 0.         0.         0.        ]],Type_2
440,[[0.00030032 0.00022524 0.00037539 ... 0.00540568 0.0053306  0.00503029]],Type_2
441,"[[0.00000000e+00 1.69322526e-04 8.46612628e-05 ... 8.46612628e-05
  0.00000000e+00 8.46612628e-05]]",Type_2
442,[[0.00299896 0.00378816 0.00363032 ... 0.00520871 0.00552439 0.00584007]],Type_2
443,[[0.00463407 0.00530676 0.0059047  ... 0.01061352 0.01091249 0.0102398 ]],Type_2
444,[[0.01463599 0.01432894 0.01432894 ... 0.00419633 0.00399163 0.00388928]],Type_2
445,[[0.01813384 0.01839166 0.01830572 ... 0.00386741 0.00601597 0.01108656]],Type_2
446,[[0. 0. 0. ... 0. 0. 0.]],Type_2
447,[[0.01826184 0.01844914 0.0189174  ... 0.01011425 0.0102079  0.0100206 ]],Type_2
448,[[0.0002134  0.00042679 0.0002134  ... 0.0002134  0.00032009 0.0002134 ]],Type_2
449,[[0.01838737 0.0212604  0.02298421 ... 0.00781463 0.00827432 0.00815939]],Type_2
450,[[0.00673973 0.00737405 0.00761193 ... 0.00182369 0.00198227 0.        ]],Type_2
451,"[[9.77736899e-05 9.77736899e-05 1.95547380e-04 ... 0.00000000e+00
  9.77736899e-05 0.00000000e+00]]",Type_2
452,[[0.         0.00011487 0.00011487 ... 0.         0.         0.        ]],Type_2
453,[[0.         0.00030266 0.00010089 ... 0.00010089 0.00010089 0.00010089]],Type_2
454,[[0.00096444 0.00353628 0.00514369 ... 0.00442035 0.00273258 0.00192888]],Type_2
455,[[0.         0.00064917 0.00146063 ... 0.01582344 0.01411938 0.0127399 ]],Type_2
456,[[0.00021129 0.00042258 0.00031693 ... 0.00021129 0.00021129 0.00021129]],Type_2
457,[[0.01375097 0.01299171 0.01273862 ... 0.00050617 0.00042181 0.00042181]],Type_2
458,[[0.0010964  0.00073093 0.00116949 ... 0.0063591  0.00270445 0.00153496]],Type_2
459,[[0.00805534 0.00842827 0.00850286 ... 0.00380391 0.00335639 0.00320722]],Type_2
460,[[0. 0. 0. ... 0. 0. 0.]],Type_2
461,"[[3.30261928e-04 1.65130964e-04 4.12827409e-04 ... 8.25654819e-05
  0.00000000e+00 8.25654819e-05]]",Type_2
462,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 9.18778111e-05
  0.00000000e+00 0.00000000e+00]]",Type_2
463,[[0.00717084 0.00686891 0.00686891 ... 0.0099637  0.00935984 0.00920887]],Type_2
464,[[0.00470592 0.00436978 0.00462189 ... 0.00361348 0.00327734 0.00327734]],Type_2
465,[[0.00036168 0.00012056 0.00036168 ... 0.00024112 0.0006028  0.00036168]],Type_2
466,[[0.00343141 0.00366806 0.00331309 ... 0.00354974 0.00307644 0.00343141]],Type_2
467,[[0.01342239 0.01367806 0.01355022 ... 0.01393372 0.01367806 0.01418939]],Type_2
468,[[0. 0. 0. ... 0. 0. 0.]],Type_2
469,[[0.00826178 0.00900442 0.01160363 ... 0.0064052  0.00538408 0.00408448]],Type_2
470,[[0.00556968 0.00516461 0.00506334 ... 0.00465827 0.00496208 0.00506334]],Type_2
471,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 7.93477341e-05
  7.93477341e-05 0.00000000e+00]]",Type_2
472,[[0.00426466 0.00441974 0.00372189 ... 0.00697854 0.00682346 0.00651331]],Type_2
473,[[0.01063852 0.01146392 0.01054681 ... 0.00394359 0.0023845  0.00192594]],Type_2
474,[[0.00012427 0.00037281 0.00024854 ... 0.00024854 0.00024854 0.00024854]],Type_2
475,[[0.00201987 0.0037031  0.00269316 ... 0.00353478 0.00252484 0.00176739]],Type_2
476,[[0.01140357 0.01101304 0.01038818 ... 0.00406155 0.00531125 0.00429587]],Type_2
477,[[0.00304963 0.00312783 0.00312783 ... 0.00750679 0.00719401 0.00664664]],Type_2
478,"[[1.62385346e-04 8.11926732e-05 8.11926732e-05 ... 1.62385346e-04
  8.11926732e-05 8.11926732e-05]]",Type_2
479,[[0. 0. 0. ... 0. 0. 0.]],Type_2
480,"[[0.00000000e+00 9.06496695e-05 9.06496695e-05 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
481,[[0.0001068 0.        0.        ... 0.        0.0001068 0.       ]],Type_2
482,[[0.00451234 0.00460082 0.00530864 ... 0.00327366 0.00300823 0.00327366]],Type_2
483,[[0.01190602 0.01217458 0.01298025 ... 0.00859382 0.00922045 0.00895189]],Type_2
484,[[0.01131798 0.01131798 0.01139882 ... 0.01026702 0.01026702 0.01018618]],Type_2
485,[[0.00747135 0.0070653  0.00641561 ... 0.00032484 0.00040605 0.00024363]],Type_2
486,[[0. 0. 0. ... 0. 0. 0.]],Type_2
487,[[0.00364456 0.00279699 0.00245796 ... 0.00322078 0.00228845 0.0023732 ]],Type_2
488,[[0.0098666  0.00967501 0.01015397 ... 0.00067055 0.0037359  0.00421486]],Type_2
489,[[0.01094764 0.0112125  0.01103593 ... 0.00397293 0.00414951 0.00547382]],Type_2
490,[[0.00917857 0.00940244 0.00772343 ... 0.00246254 0.00268641 0.00268641]],Type_2
491,[[0.00250211 0.00382675 0.00448908 ... 0.01044998 0.00824224 0.00691759]],Type_2
492,[[0.00541558 0.0067258  0.00742459 ... 0.00314453 0.00270779 0.00227105]],Type_2
493,[[0.00578418 0.00570706 0.00539857 ... 0.00485871 0.00339339 0.00254504]],Type_2
494,[[0.00596534 0.00751191 0.00552346 ... 0.00309314 0.00397689 0.00364549]],Type_2
495,"[[3.85791121e-04 4.82238901e-04 2.89343341e-04 ... 1.92895561e-04
  4.82238901e-04 9.64477803e-05]]",Type_2
496,"[[1.79681323e-04 8.98406613e-05 8.98406613e-05 ... 8.98406613e-05
  8.98406613e-05 8.98406613e-05]]",Type_2
497,[[0.00365205 0.00419986 0.00474766 ... 0.00292164 0.00246513 0.00200863]],Type_2
498,[[0.01456752 0.01403129 0.01421003 ... 0.00098308 0.00107246 0.00134057]],Type_2
499,[[0.00746209 0.00822352 0.00799509 ... 0.00441634 0.00312189 0.00357876]],Type_2
500,[[0.00264338 0.00288369 0.00248318 ... 0.00440563 0.00432553 0.00520666]],Type_2
501,[[0.00729847 0.00754449 0.0077905  ... 0.00024602 0.00032802 0.00041003]],Type_2
502,[[0. 0. 0. ... 0. 0. 0.]],Type_2
503,[[0.00010685 0.00010685 0.00010685 ... 0.00010685 0.         0.0002137 ]],Type_2
504,[[0.01055794 0.01039297 0.01088787 ... 0.00577387 0.00618629 0.00610381]],Type_2
505,[[0.01135266 0.01172488 0.01228321 ... 0.02047202 0.02047202 0.02047202]],Type_2
506,[[0. 0. 0. ... 0. 0. 0.]],Type_2
507,[[0.00758057 0.00658312 0.00568543 ... 0.00448849 0.00528645 0.00468798]],Type_2
508,"[[9.86990199e-05 9.86990199e-05 9.86990199e-05 ... 0.00000000e+00
  0.00000000e+00 9.86990199e-05]]",Type_2
509,[[0.00422377 0.00439976 0.00343181 ... 0.00624765 0.00466374 0.00466374]],Type_2
510,[[0.00012341 0.         0.         ... 0.         0.         0.        ]],Type_2
511,[[0.00061929 0.00092894 0.00046447 ... 0.00030965 0.00046447 0.        ]],Type_2
512,[[0.01569977 0.01569977 0.01551398 ... 0.01031168 0.00994009 0.00919691]],Type_2
513,[[0.00011023 0.00011023 0.00011023 ... 0.00011023 0.         0.        ]],Type_2
514,[[0. 0. 0. ... 0. 0. 0.]],Type_2
515,[[0.01326423 0.01326423 0.01304913 ... 0.00867552 0.00896232 0.00831703]],Type_2
516,"[[8.13972173e-05 8.13972173e-05 0.00000000e+00 ... 0.00000000e+00
  8.13972173e-05 8.13972173e-05]]",Type_2
517,[[0.00070337 0.00241154 0.00321539 ... 0.00221058 0.00180866 0.00180866]],Type_2
518,[[0.00204616 0.00179039 0.00238719 ... 0.00392181 0.00332501 0.00323976]],Type_2
519,"[[0.00000000e+00 9.18752669e-05 9.18752669e-05 ... 0.00000000e+00
  0.00000000e+00 9.18752669e-05]]",Type_2
520,"[[1.70617217e-04 1.70617217e-04 0.00000000e+00 ... 8.53086087e-05
  1.70617217e-04 8.53086087e-05]]",Type_2
521,[[0.00021068 0.00021068 0.00021068 ... 0.         0.         0.        ]],Type_2
522,[[0.00121147 0.00121147 0.00113071 ... 0.01477998 0.0124378  0.00444207]],Type_2
523,"[[1.96801138e-04 9.84005692e-05 9.84005692e-05 ... 9.84005692e-05
  1.96801138e-04 9.84005692e-05]]",Type_2
524,[[0.0107705  0.01040745 0.01198066 ... 0.00641389 0.00956033 0.0114966 ]],Type_2
525,[[0.00067575 0.00193072 0.00193072 ... 0.00289609 0.00231687 0.0021238 ]],Type_2
526,[[0.00554266 0.00518506 0.00598964 ... 0.00545326 0.00554266 0.00616844]],Type_2
527,"[[1.70143216e-04 1.70143216e-04 8.50716082e-05 ... 1.70143216e-04
  8.50716082e-05 8.50716082e-05]]",Type_2
528,"[[9.37570984e-05 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
529,"[[1.75237497e-04 8.76187484e-05 1.75237497e-04 ... 2.62856245e-04
  2.62856245e-04 8.76187484e-05]]",Type_2
530,[[0.00642515 0.00674244 0.00626651 ... 0.0038075  0.0027763  0.0017451 ]],Type_2
531,[[0.01253243 0.01280488 0.01273677 ... 0.00912688 0.00851388 0.00830955]],Type_2
532,[[0.00424738 0.00398734 0.00364061 ... 0.00641441 0.00728122 0.00615437]],Type_2
533,[[0.00070462 0.00060396 0.00060396 ... 0.00614027 0.00664357 0.00694555]],Type_2
534,[[0. 0. 0. ... 0. 0. 0.]],Type_2
535,[[0.         0.         0.00012304 ... 0.00012304 0.00024608 0.00012304]],Type_2
536,[[0.00011227 0.         0.         ... 0.         0.         0.        ]],Type_2
537,"[[7.55555438e-05 7.55555438e-05 1.51111088e-04 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
